Date,Open,High,Low,Close,Volume,Adj Close
2013-06-12,102.19,102.42,100.61,100.88,2936500,100.88
2013-06-11,101.61,102.78,100.90,101.75,3144100,101.75
2013-06-10,102.51,102.95,101.51,102.24,4047500,102.24
2013-06-07,100.25,102.59,100.06,102.49,5732900,102.49
2013-06-06,98.65,99.81,98.42,99.76,4131700,99.76
2013-06-05,99.34,99.71,98.05,98.49,5151000,98.49
2013-06-04,100.48,100.92,99.08,99.61,3769800,99.61
2013-06-03,99.36,100.90,99.30,100.74,6472900,100.74
2013-05-31,100.21,100.95,99.02,99.02,4218700,99.02
2013-05-30,99.29,100.99,99.06,100.54,4784400,100.54
2013-05-29,99.56,100.03,98.90,99.09,4405800,99.09
2013-05-28,100.85,101.47,100.11,100.11,5736000,100.11
2013-05-24,99.75,100.58,98.85,100.00,6746300,100.00
2013-05-23,97.18,99.99,97.06,99.75,6975700,99.75
2013-05-22,98.86,99.48,97.86,97.93,8399700,97.93
2013-05-21,98.59,99.05,97.90,98.75,4415400,98.75
2013-05-20,99.12,99.33,98.52,98.72,6535200,98.72
2013-05-17,97.02,99.04,97.00,98.92,7408900,98.92
2013-05-16,96.89,97.20,96.30,96.58,5036700,96.58
2013-05-15,95.69,97.47,95.60,97.02,4875100,97.02
2013-05-14,94.92,96.19,94.70,96.11,4646500,96.11
2013-05-13,94.12,95.16,94.10,94.76,3492000,94.76
2013-05-10,94.75,94.99,93.82,94.24,3918600,94.24
2013-05-09,94.07,95.15,94.04,94.61,3677500,94.61
2013-05-08,94.31,94.44,93.77,94.04,3204300,94.04
2013-05-07,94.31,95.04,94.06,94.79,3858400,94.31
2013-05-06,93.44,94.79,93.36,94.19,5504800,93.71
2013-05-03,92.85,93.95,92.67,93.74,4700100,93.26
2013-05-02,91.24,92.82,91.20,92.21,4514800,91.74
2013-05-01,91.08,91.75,90.72,91.18,4567300,90.71
2013-04-30,91.35,91.99,90.82,91.41,4714300,90.94
2013-04-29,91.40,92.41,91.19,91.90,6265900,91.43
2013-04-26,91.89,93.38,91.67,92.85,5910600,92.37
2013-04-25,91.35,92.62,90.07,91.67,5766100,91.20
2013-04-24,91.95,92.65,90.42,90.83,9231700,90.37
2013-04-23,87.35,88.51,87.20,88.18,3130700,87.73
2013-04-22,88.08,88.08,86.44,86.94,4248700,86.50
2013-04-19,87.57,88.08,86.57,87.96,6322200,87.51
2013-04-18,87.06,87.16,85.75,86.12,2792800,85.68
2013-04-17,86.47,87.00,85.78,86.69,3781100,86.25
2013-04-16,87.45,88.35,86.43,86.89,5233900,86.45
2013-04-15,88.44,88.77,86.77,86.77,4324000,86.33
2013-04-12,88.29,88.93,88.00,88.89,2588300,88.44
2013-04-11,87.96,89.46,87.84,88.53,5394200,88.08
2013-04-10,87.34,88.56,87.06,87.82,4635200,87.37
2013-04-09,87.12,87.49,86.19,87.21,6058400,86.76
2013-04-08,86.04,86.81,85.38,86.75,5003600,86.31
2013-04-05,84.07,86.30,83.91,86.17,6109500,85.73
2013-04-04,84.79,85.02,84.21,84.95,3352500,84.52
2013-04-03,84.30,85.35,84.07,84.36,3885000,83.93
2013-04-02,85.39,85.50,83.80,84.09,4764900,83.66
2013-04-01,85.60,86.19,85.03,85.25,2867200,84.81
2013-03-28,86.41,86.50,85.42,85.85,4884300,85.41
2013-03-27,85.75,86.42,85.05,86.20,3185700,85.76
2013-03-26,85.43,86.84,85.41,86.62,5083400,86.18
2013-03-25,85.03,85.48,84.34,84.85,3528400,84.42
2013-03-22,84.52,85.10,84.52,84.82,2841600,84.39
2013-03-21,85.20,85.83,84.18,84.33,3672400,83.90
2013-03-20,85.85,86.14,85.18,85.37,3783500,84.93
2013-03-19,85.53,86.00,85.24,85.51,5381200,85.07
2013-03-18,85.07,85.77,85.04,85.18,4803900,84.74
2013-03-15,84.75,86.49,84.50,86.43,8205400,85.99
2013-03-14,84.62,85.10,84.13,84.62,5027800,84.19
2013-03-13,84.38,84.85,83.52,84.75,7750900,84.32
2013-03-12,83.10,84.62,83.00,84.16,6600800,83.73
2013-03-11,81.01,83.03,80.96,82.94,5087300,82.52
2013-03-08,81.16,81.70,80.72,81.23,5231700,80.81
2013-03-07,79.37,81.95,79.37,81.05,10029900,80.64
2013-03-06,78.67,79.28,78.49,79.08,3826100,78.68
2013-03-05,77.45,78.85,77.11,78.66,5693200,78.26
2013-03-04,76.95,77.40,76.17,77.09,4748600,76.70
2013-03-01,76.70,77.59,76.58,77.28,6024200,76.88
2013-02-28,77.24,77.73,76.40,76.90,5593400,76.51
2013-02-27,75.53,77.93,75.53,77.36,7160000,76.96
2013-02-26,75.43,75.91,75.14,75.65,3436700,75.26
2013-02-25,76.83,76.90,75.03,75.03,4936300,74.65
2013-02-22,76.70,77.03,76.48,76.66,5391200,76.27
2013-02-21,74.96,76.18,74.91,76.01,7438600,75.62
2013-02-20,75.64,76.25,74.75,74.78,7551300,74.40
2013-02-19,74.99,75.19,74.27,74.65,3882500,74.27
2013-02-15,75.26,75.26,74.72,75.03,3650700,74.65
2013-02-14,74.69,75.31,74.54,74.93,3830400,74.55
2013-02-13,75.67,75.83,74.63,74.78,4313500,74.40
2013-02-12,76.06,76.25,75.83,75.99,3597400,75.12
2013-02-11,76.42,76.44,75.85,75.87,3677100,75.00
2013-02-08,77.24,77.39,76.28,76.56,5100400,75.68
2013-02-07,76.32,77.54,76.28,77.43,7773000,76.54
2013-02-06,75.47,76.30,75.40,76.29,4716600,75.42
2013-02-05,75.69,76.98,75.61,75.89,6831200,75.02
2013-02-04,74.29,75.53,74.25,75.21,5799800,74.35
2013-02-01,74.49,75.07,74.23,74.87,6749300,74.01
2013-01-31,74.50,74.62,73.76,73.87,7639000,73.02
2013-01-30,74.42,74.75,73.73,74.59,10048600,73.73
2013-01-29,74.24,74.24,73.00,73.65,9296800,72.81
2013-01-28,73.90,74.65,73.89,74.00,7759000,73.15
2013-01-25,75.29,75.42,74.79,75.03,6163200,74.17
2013-01-24,74.41,75.54,74.41,75.32,7292200,74.46
2013-01-23,73.99,74.59,73.45,74.29,7784900,73.44
2013-01-22,74.12,74.27,73.77,74.16,9161900,73.31
2013-01-18,75.16,75.16,74.29,75.04,10829000,74.18
2013-01-17,72.78,75.63,72.68,75.26,21849200,74.40
2013-01-16,73.85,74.64,73.56,74.34,18212000,73.49
2013-01-15,76.21,76.98,76.18,76.94,3900600,76.06
2013-01-14,75.23,76.59,74.90,76.55,6221100,75.67
2013-01-11,75.71,76.10,74.60,75.16,9808500,74.30
2013-01-10,76.93,77.12,76.16,77.09,5026600,76.21
2013-01-09,74.92,76.81,74.91,76.76,10915800,75.88
2013-01-08,75.24,75.81,73.11,74.13,20268100,73.28
2013-01-07,77.54,77.69,75.34,76.13,7172600,75.26
2013-01-04,77.79,78.02,77.44,77.69,3431700,76.80
2013-01-03,76.99,77.98,76.37,77.47,3987000,76.58
2013-01-02,76.55,77.33,76.45,77.07,5036400,76.19
