,Var1
1-1,3.9556564850956795
2-1,6.3360033463301555
3-1,3.543942069003581
4-1,5.9970914748999089
5-1,11.302222767188303
6-1,9.7190343963176584
7-1,13.924986066875265
8-1,5.6360043749553252
9-1,2.5640933184776102
10-1,3.1476338721542674
11-1,6.9728354484005575
12-1,6.7208200877632764
13-1,9.5133815001614224
14-1,15.641733794094938
15-1,26.428965654433764
16-1,5.0120176277398363
17-1,6.8518415456160104
18-1,3.8157042100583611
19-1,3.5962731051633012
20-1,5.3643527569624458
21-1,13.037888331340968
22-1,5.0243498407543044
23-1,1.5706888014034348
24-1,8.2874797661120549
25-1,6.1648390545128908
26-1,11.399524172575831
27-1,7.071866359203816
28-1,3.5506977605982852
29-1,3.8598086956596638
30-1,5.5644654363985113
31-1,4.0021762536281908
32-1,2.5967699472361354
33-1,4.7857747599289633
34-1,4.8919192250890351
35-1,3.1168365367418858
36-1,5.040079243419779
37-1,5.3378885457088172
38-1,5.6768532672340726
39-1,4.0428634086498478
40-1,2.9870079099710356
41-1,2.6677561228522797
42-1,3.190340191036714
43-1,5.2679620109352641
44-1,4.5436364148133226
45-1,3.5311107887328701
46-1,8.0936937037332655
47-1,5.4612812934234141
48-1,6.0793282641601873
49-1,5.5892518008242762
50-1,9.5107751086946095
51-1,13.240810706078578
52-1,8.4587434114150462
53-1,6.4098763231740872
54-1,7.1734118356581007
55-1,4.2420016992465603
56-1,4.1685285011652198
57-1,3.208949022526947
58-1,3.1575841446326698
59-1,2.9150381878512559
60-1,2.4281964395217845
61-1,2.889438367092918
62-1,3.64208576232503
63-1,4.3563694577723835
64-1,2.8931925926740245
65-1,3.5987742049005478
66-1,2.6208415439097408
67-1,2.583312496220485
68-1,3.0004910835866889
69-1,2.0853781213692724
70-1,2.4578256986674543
71-1,1.4565990409984626
72-1,3.2459989855775024
73-1,3.0163908895173619
74-1,1.8723845077983856
75-1,1.2431418962319052
76-1,1.2561328358440309
77-1,1.7235084939656344
78-1,1.0338212837811458
79-1,11.802219734514605
80-1,3.02763078547108
81-1,2.1640201443856433
82-1,3.4877296192858758
83-1,4.6026363274252278
84-1,6.8188216192341198
85-1,5.5069993095486804
86-1,3.8106998418101501
87-1,3.2058325643072649
88-1,3.6177620750388857
89-1,2.120076672387337
90-1,3.5850605741001291
91-1,1.5999206129642287
92-1,3.4465213854703691
93-1,1.8130701651327576
94-1,1.8546461458795234
95-1,3.5860843877612107
96-1,2.5503016493190249
97-1,4.1980856747164035
98-1,2.3598380933169434
99-1,3.1583049281622579
100-1,2.9882985327553202
101-1,3.8231611221596125
102-1,5.4692836209482483
103-1,2.2440386039757878
104-1,1.7781726844993904
105-1,2.4002361202950704
106-1,4.2941431596184101
107-1,5.7772422466806601
108-1,3.1724651161306729
109-1,2.8561139604144201
110-1,3.1214559277931069
111-1,3.4011243746776021
112-1,4.6199880506174331
113-1,2.4261497621895831
114-1,3.4873843765335089
115-1,2.6314577117848734
116-1,2.8047373200932024
117-1,4.6967952105272763
118-1,5.3108867705138918
119-1,5.9315390611570757
120-1,6.6678524340620724
121-1,7.1181281333395132
122-1,4.2100647596230596
123-1,4.8102940148524294
124-1,5.1081085402660626
125-1,4.654936396074322
126-1,6.7183415915391862
127-1,5.6927722070484315
128-1,7.6829421056361751
129-1,7.4278223712288405
130-1,5.1568188097946202
131-1,8.0889247520192367
132-1,11.691055405564169
133-1,11.628083720281602
134-1,7.22771739170269
135-1,12.583339046943916
136-1,9.8367687047352561
137-1,23.186221083228038
138-1,10.996939483520871
139-1,7.1381894546015756
140-1,8.3646390711230012
141-1,15.205279456579829
142-1,9.2744264168050954
143-1,11.392645340970224
144-1,6.3798577026410408
145-1,19.618455506357737
146-1,6.4484384354642028
147-1,13.83847485898877
148-1,11.384492000511527
149-1,3.2036318122135565
150-1,5.3218425094845347
151-1,7.0323162560192367
152-1,5.7075409253758105
153-1,5.9478470476037328
154-1,9.6473295006699775
155-1,8.0428207820991968
156-1,6.4471152621547594
157-1,8.3976541686558122
158-1,5.0254780111631394
159-1,6.360725534732226
160-1,5.9996990796015179
161-1,7.4078738061745861
162-1,4.4014128273897741
163-1,3.769964769103757
164-1,3.7320596697021777
165-1,2.8324776585572251
166-1,3.9102499346843702
167-1,3.5305564245146961
168-1,4.3629378785717376
169-1,9.0531451792775801
170-1,8.1977637220877781
171-1,3.272307816242654
172-1,5.7311932604926676
173-1,8.4300192810786232
