,Var1
1-1,3.3333069594433034
2-1,4.4274129793603958
3-1,4.9360454277919388
4-1,4.9757592140823768
5-1,10.141989169296181
6-1,10.604728229223003
7-1,9.2573358963103587
8-1,5.8380384427351073
9-1,3.7205192792852597
10-1,3.9697110732892953
11-1,7.442684461051571
12-1,7.8050509612907994
13-1,12.869716231843952
14-1,27.337153289999087
15-1,18.555909603051148
16-1,6.1403858087137051
17-1,8.2863881766316307
18-1,7.2690327510226638
19-1,6.3814462534755796
20-1,11.855756636465266
21-1,20.083352409960529
22-1,7.0383039505034013
23-1,2.4103689760815978
24-1,5.2979526814204023
25-1,5.6219018677699548
26-1,9.2023044646426087
27-1,6.1807924735991957
28-1,4.1049683495781943
29-1,4.1177944219513511
30-1,4.5770725255639118
31-1,4.0415421168064025
32-1,2.9148225753152075
33-1,3.298193186341511
34-1,5.8532841802573579
35-1,5.7823456264172393
36-1,4.6760793346392395
37-1,4.7371264710379828
38-1,5.3893260349436209
39-1,3.7220041902342249
40-1,4.7749946786983655
41-1,3.5507866540976263
42-1,4.037685913518958
43-1,5.217963338190982
44-1,6.2950425727016626
45-1,4.1797617087497265
46-1,7.0032326564582874
47-1,5.9550461680382449
48-1,5.543335192080689
49-1,5.6881426461149305
50-1,11.263632139699403
51-1,24.843558532161719
52-1,15.021994897555416
53-1,6.5595987111603797
54-1,8.1267782937431985
55-1,5.4004828456986704
56-1,4.3022265516406462
57-1,2.8994793500483103
58-1,3.4454100694090521
59-1,5.0009909046317125
60-1,3.3044032149823273
61-1,3.2599793437085007
62-1,4.5769854386339519
63-1,3.7471640277533611
64-1,4.2732094265546774
65-1,3.7371199880908046
66-1,2.3225049384067851
67-1,2.4533464366246336
68-1,2.7581570767712664
69-1,2.6691190626223995
70-1,2.5510081976985419
71-1,2.1478730030997424
72-1,2.6382661655232589
73-1,3.1882743067724899
74-1,2.4077541151818149
75-1,2.3531742556647757
76-1,2.0146613908051565
77-1,2.7913376815345212
78-1,1.6012372018085095
79-1,12.001315829145605
80-1,3.2563010162138566
81-1,2.5942688206488369
82-1,3.0033632402764572
83-1,6.4830751889749072
84-1,6.8781855335427355
85-1,5.1457563588131823
86-1,3.4985937909917451
87-1,3.2008512810919947
88-1,4.4601248168518044
89-1,2.4604525728310813
90-1,2.8937154029559684
91-1,1.8166506825317339
92-1,2.6466198870674846
93-1,1.3885099233414724
94-1,2.7552922231801515
95-1,5.5053698940052662
96-1,2.7162460715627343
97-1,3.6840199902577431
98-1,3.4452423144850814
99-1,3.6852264267826578
100-1,3.3962499559464976
101-1,2.7163270110015527
102-1,4.444532748429733
103-1,4.0296551535558152
104-1,1.8374515207686972
105-1,2.3337656440582761
106-1,4.5615473105086455
107-1,5.9523881671490217
108-1,2.9680409581736091
109-1,4.1524507521293117
110-1,4.4183214935394393
111-1,4.9783309107278448
112-1,4.6553347923993194
113-1,3.2206914074199298
114-1,3.9979355377882544
115-1,2.4458759196033419
116-1,2.2643260233260456
117-1,2.8796314105456404
118-1,3.9021712327513858
119-1,4.3524737739817594
120-1,4.4619521432009357
121-1,4.7410716646024866
122-1,6.1351157668142946
123-1,4.4139252412267069
124-1,5.7245262473397069
125-1,4.5890277478082311
126-1,7.2240229894742019
127-1,9.0397614945521454
128-1,7.2909173529110554
129-1,7.4966558382550152
130-1,9.933372384898961
131-1,7.208498017520272
132-1,13.123844786506561
133-1,14.006145734128767
134-1,10.239004090597318
135-1,13.933057244082057
136-1,8.6970818056773567
137-1,12.472297725798541
138-1,7.254704296965838
139-1,6.0827776689252575
140-1,7.9434169569253692
141-1,11.152828560886274
142-1,9.5922276361487988
143-1,10.012852431416139
144-1,7.1656376820000549
145-1,13.837490265196211
146-1,7.1073139986432654
147-1,13.181435914727018
148-1,12.531247493585459
149-1,5.7788217592286397
150-1,7.913669127001377
151-1,6.3878424247461281
152-1,8.1515482913343451
153-1,8.2312713524787835
154-1,8.0229604715084957
155-1,7.4218740580290294
156-1,7.3850174617834847
157-1,7.1512263156106695
158-1,6.979473646997941
159-1,6.9094938566434845
160-1,6.3638912548903441
161-1,9.5741876362993406
162-1,4.7308376395432514
163-1,4.6635079976932925
164-1,5.3706331994499807
165-1,4.354027877925664
166-1,4.8336550255421011
167-1,5.0016344317467949
168-1,5.0492732667712961
169-1,9.3714627904476497
170-1,10.10164262845513
171-1,5.6933302921184339
172-1,8.1088834961521989
173-1,11.864607113623512
174-1,7.2406795193180562
175-1,6.6584168110721267
176-1,12.281310232898631
177-1,7.8525843179929318
178-1,16.662032188048951
179-1,22.610756706699757
180-1,13.956759770528123
181-1,24.561260598992959
182-1,64.3821115343911
183-1,7.2566651644985436
184-1,7.7232072039842761
185-1,8.2787300835458897
186-1,4.2785764593829283
187-1,7.4787045056534236
188-1,31.260447146297224
189-1,14.792508281186384
190-1,11.539512260185916
191-1,8.688263798656342
192-1,18.195746591685356
193-1,27.458126417448131
194-1,23.561009096472112
195-1,54.102726226794026
196-1,32.207837883899579
197-1,114.31947237293386
198-1,21.951078180532864
199-1,28.301449350814369
200-1,23.32924630123097
201-1,56.590446011705211
202-1,27.592064187262174
203-1,20.473125171696097
204-1,12.991134267436649
205-1,16.706480621059619
206-1,43.871435717168048
207-1,62.859965661323223
208-1,26.206656864701205
209-1,22.664215814740345
210-1,30.689866636437891
211-1,27.743992113475198
212-1,21.001114618393157
213-1,11.582519142897976
214-1,12.420652969505758
215-1,9.9547613943323121
216-1,21.626396966621527
217-1,18.374055071255416
218-1,19.967564630865144
219-1,36.332167265548293
220-1,18.486089193997742
221-1,45.284711934450172
222-1,28.444302123791889
223-1,25.791230818770341
224-1,26.733736263617793
225-1,18.079756312173689
226-1,42.441133484877653
227-1,41.137185563297813
228-1,27.61515664487106
229-1,38.332144741482921
230-1,14.295906453774929
231-1,4.9830057408026107
232-1,19.989620566544975
233-1,20.666836171116071
234-1,35.396002631217328
235-1,46.376646540440198
236-1,32.19760876965308
237-1,22.154903206635549
238-1,25.134645197230668
239-1,18.623355526610961
240-1,18.066986876425108
241-1,28.148407894815445
242-1,16.641201586848808
243-1,15.87270214002791
244-1,16.043432697975057
245-1,14.255071818415853
246-1,18.422651743963762
247-1,11.419870655580945
248-1,12.877689351050163
249-1,2.4833182166187715
250-1,2.938506544694822
251-1,4.0797795643459844
252-1,7.5355501844037187
253-1,5.1692579751229628
254-1,6.4254678026272138
255-1,12.167361978174984
256-1,8.1762670655449536
257-1,8.6939330476672581
258-1,9.923445299552176
259-1,12.522495163806592
260-1,5.8456254746749687
261-1,17.665979393963269
262-1,9.5859628974521502
263-1,11.873985119533387
264-1,16.28662217667306
265-1,17.863281644728762
266-1,17.968268804181616
267-1,19.283688753505114
268-1,20.823415925268321
269-1,15.487237443564629
270-1,13.233700155278818
271-1,18.324933932499349
272-1,23.564493542889984
273-1,10.854105236266868
274-1,10.208404609933332
275-1,11.943902989997341
276-1,8.9210459947927205
277-1,12.377171525783957
278-1,10.493688277433359
279-1,5.8076775320370491
280-1,15.857862343196601
281-1,9.938785716694241
282-1,12.194433494107363
283-1,8.1977168936619051
284-1,13.016538089009327
285-1,11.149913170284059
286-1,9.5905634647016704
287-1,12.918170649559487
288-1,9.9353556025519456
289-1,12.938929401711901
290-1,13.57082538431974
291-1,13.925736625985369
292-1,19.025836954542381
293-1,9.385975675477594
294-1,12.793253025027671
295-1,12.22171885696031
296-1,10.354699396321706
297-1,15.935103121255388
298-1,14.025631628328705
299-1,16.395675955439241
300-1,10.215713289109951
301-1,9.5871537168922139
302-1,8.9285958829779197
303-1,9.0215808975530596
304-1,8.6737178578096419
305-1,14.114340964039375
306-1,9.544661599673077
307-1,10.660367287267167
308-1,13.247112039454468
309-1,10.47272542130926
310-1,13.602735143680942
311-1,11.122889651219893
312-1,10.952079479207608
313-1,8.5021027873752448
314-1,7.8905210772091969
315-1,3.9768421385326005
316-1,7.2722899511541206
317-1,6.1848491979186697
318-1,8.3520904498954174
319-1,6.4289007584790072
320-1,5.0680466923422376
321-1,4.6503459947119863
322-1,3.9934747842930678
323-1,3.9236645335223836
324-1,9.5541927666686064
325-1,5.3972938135469599
326-1,6.6112974347467706
327-1,6.2898118124349729
328-1,8.631889308858808
329-1,9.6407659749839851
330-1,11.948606941623625
331-1,9.6759736973829593
332-1,13.947789255708182
333-1,12.170117759534273
334-1,12.957709267124814
335-1,16.529725485827864
336-1,6.2822694543789366
337-1,8.2649294602332652
338-1,9.3416530119195542
339-1,7.1438007201722664
340-1,11.469625074777193
341-1,6.4777775010436098
342-1,9.3470636474795317
343-1,9.0206059668049647
344-1,8.058852970346619
345-1,7.489469352055929
346-1,7.4007168209125478
347-1,5.5725334800768369
348-1,6.5078354679390378
349-1,8.0230181990846461
350-1,4.8128175163051434
351-1,6.5721487875479809
352-1,9.1106816787771674
353-1,9.1947779000602701
354-1,9.8450155656218232
