,Var1
1-1,5.2880245094417297
2-1,7.6192073190809806
3-1,5.0776192862562093
4-1,6.6648371780916786
5-1,12.168945221244469
6-1,8.821384000220764
7-1,13.058775266813811
8-1,6.1206349326937941
9-1,2.7210095592449468
10-1,3.1933959939536405
11-1,8.9101624709020442
12-1,7.7262746846728803
13-1,14.288808504297259
14-1,19.052861286530582
15-1,32.524793084594933
16-1,5.2235427859844306
17-1,5.9618975482083032
18-1,4.5891600230334308
19-1,6.583768724491315
20-1,7.5097663430066071
21-1,12.811448432720265
22-1,6.6368140410676455
23-1,2.2047322268973977
24-1,9.9800126815571684
25-1,7.6102147382948448
26-1,11.788204738627725
27-1,6.3044701830983376
28-1,3.5727261424254482
29-1,4.9214517876533641
30-1,6.2275811241028975
31-1,4.9141268023027482
32-1,3.0560024007783477
33-1,5.3165228143989758
34-1,4.6831596335796384
35-1,3.3097415868560391
36-1,5.6205079470342696
37-1,5.6356208236800276
38-1,5.6968341785226899
39-1,4.3363456818287549
40-1,3.8824286892993274
41-1,2.7447521280495173
42-1,3.5404758699359959
43-1,5.1617394399924086
44-1,4.6213260152957805
45-1,3.9429938906674593
46-1,9.2695713426093054
47-1,5.4137462407027108
48-1,7.3105194849610431
49-1,6.2963539319324049
50-1,11.618669448819459
51-1,14.983477265602753
52-1,9.2977766812585436
53-1,8.3872058938179563
54-1,7.157651444666068
55-1,4.3024704035192318
56-1,3.9731302826063439
57-1,3.0535587597147704
58-1,3.8951401868250928
59-1,3.962961079469427
60-1,3.096840798142201
61-1,3.3825073492762892
62-1,4.022376467027148
63-1,4.2724885462872457
64-1,3.6801251262481949
65-1,3.5607598005187606
66-1,2.6443266019709504
67-1,2.6703670239599289
68-1,2.9430776983453084
69-1,2.55995681530902
70-1,2.5825225195055208
71-1,1.6019676148516595
72-1,3.572506529133467
73-1,3.4961829369337303
74-1,3.3319303492267385
75-1,1.9428816287848605
76-1,1.5006403399165604
77-1,2.7744560955085698
78-1,1.3154649160458216
79-1,11.690567304539485
80-1,3.3885998409910929
81-1,2.6137337438334303
82-1,3.9673147252326948
83-1,4.3644282931801319
84-1,6.9905986125759387
85-1,5.2154213624857286
86-1,4.1155056979390974
87-1,3.4642203885353315
88-1,3.881593427687394
89-1,2.0597466366323633
90-1,4.2371453355211894
91-1,1.7941841407864048
92-1,3.3166475513507234
93-1,1.7906433261314438
94-1,1.8664198887490093
95-1,3.5506096644026872
96-1,2.4798030721555562
97-1,4.1328166571025147
98-1,2.2778078174016261
99-1,3.9738260996748256
100-1,3.6970439703595654
101-1,3.780479482072101
102-1,5.0893631514751485
103-1,2.4795526935158203
104-1,2.1493551474324009
105-1,2.5204419286204356
106-1,4.2137588986136389
107-1,5.5525031946017167
108-1,3.5186709645562995
109-1,4.2672980350523204
110-1,3.5444560848984739
111-1,4.3229530262279221
112-1,4.6665882041421476
113-1,2.4553172589281087
114-1,3.9638518171601151
115-1,2.9380945188830698
116-1,2.7972829499191896
117-1,4.231188669791722
118-1,5.2231375302000416
119-1,7.1460408898732455
120-1,6.9258130037393606
121-1,7.5736856234890242
122-1,4.62900162775688
123-1,9.5062209752751716
124-1,5.5702212301270979
125-1,4.6104430518770592
126-1,7.0184815261998219
127-1,6.6646580765780401
128-1,7.5011907391701262
129-1,7.5012644128429065
130-1,5.6676091866839027
131-1,8.9826513953566121
132-1,12.529961945988278
133-1,16.12375436906505
134-1,7.8356307768382019
135-1,13.13511471162645
136-1,9.4453135500504768
137-1,19.375433065535105
138-1,10.053225869554961
139-1,6.5136119662894361
140-1,11.183392558927691
141-1,13.033536160568776
142-1,11.600478818163564
143-1,12.256035808589514
144-1,6.4793772977298909
145-1,17.676588881322274
146-1,6.7365999339014468
147-1,12.676766798452082
148-1,13.633478771977298
149-1,3.5280699809917393
150-1,6.7055434043069075
