,Var1,Var2
1-1,20080102,-0.043821117715589164
2-1,20080103,-0.031564956154424895
3-1,20080104,-0.034251785321968153
4-1,20080107,0.018087640280956219
5-1,20080108,0.074301947286718129
6-1,20080109,-0.018834865773845522
7-1,20080110,0.04225980928988271
8-1,20080111,-0.025444126433267211
9-1,20080114,-0.013225014725886997
10-1,20080115,-0.035438830994567461
11-1,20080116,0.022555375288379587
12-1,20080117,-0.012001187609689712
13-1,20080118,-0.021220955482885273
14-1,20080122,0.0016072867108718469
15-1,20080123,0.066777714627027418
16-1,20080124,0.023751735061086965
17-1,20080125,-0.039396767769790397
18-1,20080128,0
19-1,20080129,0.015144156164297318
20-1,20080130,-0.04351851263113593
21-1,20080131,-0.0099921946284493579
22-1,20080201,0.015211413156732689
23-1,20080204,-0.0020844197229119565
24-1,20080205,-0.035035430472146967
25-1,20080206,-0.020743101818646803
26-1,20080207,0.021823015530508805
27-1,20080208,-0.014678165130445731
28-1,20080211,0.014678165130445731
29-1,20080212,0.010735476158728829
30-1,20080213,0.0061211102631015812
31-1,20080214,-0.03482603263634898
32-1,20080215,0.0054794657646257683
33-1,20080219,-0.0087816151603847814
34-1,20080220,0.0060456353415099251
35-1,20080221,-0.022161571802852276
36-1,20080222,0.02106508046492328
37-1,20080225,0.013620477522966468
38-1,20080226,0.030902832012517756
39-1,20080227,-0.0010498688628364228
40-1,20080228,-0.023918227629866617
41-1,20080229,-0.032807753770911052
42-1,20080303,-0.0066927187911050012
43-1,20080304,0.0027940783754476506
44-1,20080305,0.013303965626362935
45-1,20080306,-0.031890814423680691
46-1,20080307,-0.02825209524085226
47-1,20080310,-0.017104516088090271
48-1,20080311,0.053848029460909164
49-1,20080312,-0.0067873563733997777
50-1,20080313,-0.00056769799991895908
51-1,20080314,-0.010847951083757579
52-1,20080317,-0.0092272857690751664
53-1,20080318,0.054676903035289826
54-1,20080319,-0.041439299660061213
55-1,20080320,0.0031397200046683338
56-1,20080324,0.020031703811530299
57-1,20080325,0.0050153351157327108
58-1,20080326,-0.018513852786627982
59-1,20080327,-0.0022675746677802699
60-1,20080328,-0.032298078444500611
61-1,20080331,0.027177156869610197
62-1,20080401,0.05385703315113588
63-1,20080402,0.0051219952927543666
64-1,20080403,-0.013808260548714646
65-1,20080404,0.0076045993852194016
66-1,20080407,-0.010334603810763898
67-1,20080408,-0.016538414440332438
68-1,20080409,-0.028758677735052363
69-1,20080410,0.0028563287057536968
70-1,20080411,-0.015522013277861291
71-1,20080414,-0.015766749971441119
72-1,20080415,0.020967570709027772
73-1,20080416,0.018275779938736747
74-1,20080417,-0.0005660911557914261
75-1,20080418,0.034505370850190342
76-1,20080421,-0.012108018037164658
