,Var1,Var2
1-1,20080102,-0.043821117715589164
2-1,20080103,-0.034925434953412271
3-1,20080104,-0.019715863164417868
4-1,20080107,0.0059929353976109212
5-1,20080108,-0.016008345860987205
6-1,20080109,-0.028370697129215472
7-1,20080110,0.045347819978459381
8-1,20080111,-0.0085535112688432946
9-1,20080114,-0.016755913728438987
10-1,20080115,-0.022036568532254996
11-1,20080116,0.015155764358205204
12-1,20080117,-0.012519725344927846
13-1,20080118,-0.0069463276902923532
14-1,20080122,0.051631455919263214
15-1,20080123,0.09721484681289061
16-1,20080124,0.013786530522690299
17-1,20080125,-0.043788089781391815
18-1,20080128,0.010739044654564989
19-1,20080129,0.0050226122662913042
20-1,20080130,-0.044520014968225663
21-1,20080131,0.04099819045058517
22-1,20080201,0.031194704931543971
23-1,20080204,-0.0072765393828699843
24-1,20080205,-0.020850795480190421
25-1,20080206,-0.028278121323065175
26-1,20080207,0.025137935693130942
27-1,20080208,-0.0098093429616255001
28-1,20080211,0.014678165130445731
29-1,20080212,0.0069649357368413156
30-1,20080213,-0.0023850547943196077
31-1,20080214,-0.035091319811270338
32-1,20080215,0.01264795524323814
33-1,20080219,-0.023427930677623721
34-1,20080220,0.011573565394022989
35-1,20080221,-0.022709366941174203
36-1,20080222,0.013252540728129869
37-1,20080225,0.011976191046715545
38-1,20080226,0.039052836374442457
39-1,20080227,0.003683245416296721
40-1,20080228,-0.017067080937013479
41-1,20080229,-0.020358337229902546
42-1,20080303,-0.0094681854631408768
43-1,20080304,0.0055959855041209927
44-1,20080305,0.009405325210705584
45-1,20080306,-0.02470647846575913
46-1,20080307,-0.02026118513982178
47-1,20080310,-0.018857364915504604
48-1,20080311,0.0414328537362052
49-1,20080312,-0.0062234995780832136
50-1,20080313,0.0051238369998691802
51-1,20080314,0.0034502621921528309
52-1,20080317,0.015178341599065615
53-1,20080318,0.045449617266214659
54-1,20080319,-0.04800028547006896
55-1,20080320,-0.0059667743441269572
56-1,20080324,0.019746762934834017
57-1,20080325,0.0038986404156573506
58-1,20080326,-0.01628791975847399
59-1,20080327,-0.0079141170559906548
60-1,20080328,-0.039648973857891789
61-1,20080331,0.024835235424528701
62-1,20080401,0.034927240608905841
63-1,20080402,0.0075573908950716806
64-1,20080403,-0.010306573468949587
65-1,20080404,0.0032520353863771945
66-1,20080407,-0.017344608251385285
67-1,20080408,-0.02524832252409448
